flasher_cmds,pos_cmd_0s,pos_cmd_1s
1 1 1 0 0 0 0 0 0 0 0 0,0.32499919999999993,0.154997
1 1 1 0 0 0 0 0 0 0 0 0,0.34999919999999995,0.154997
1 1 1 0 0 0 0 0 0 0 0 0,0.3749991999999999,0.154997
1 1 1 0 0 0 0 0 0 0 0 0,0.39999919999999994,0.154997
1 1 1 0 0 0 0 0 0 0 0 0,0.4249991999999999,0.154997
1 1 1 0 0 0 0 0 0 0 0 0,0.44999919999999993,0.154997
1 1 1 0 0 0 0 0 0 0 0 0,0.47499919999999995,0.154997
1 1 1 0 0 0 0 0 0 0 0 0,0.32499919999999993,0.17999699999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.34999919999999995,0.17999699999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.3749991999999999,0.17999699999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.39999919999999994,0.17999699999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.4249991999999999,0.17999699999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.44999919999999993,0.17999699999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.47499919999999995,0.17999699999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.32499919999999993,0.20499699999999998
1 1 1 0 0 0 0 0 0 0 0 0,0.34999919999999995,0.20499699999999998
1 1 1 0 0 0 0 0 0 0 0 0,0.3749991999999999,0.20499699999999998
1 1 1 0 0 0 0 0 0 0 0 0,0.39999919999999994,0.20499699999999998
1 1 1 0 0 0 0 0 0 0 0 0,0.4249991999999999,0.20499699999999998
1 1 1 0 0 0 0 0 0 0 0 0,0.44999919999999993,0.20499699999999998
1 1 1 0 0 0 0 0 0 0 0 0,0.47499919999999995,0.20499699999999998
1 1 1 0 0 0 0 0 0 0 0 0,0.32499919999999993,0.22999699999999998
1 1 1 0 0 0 0 0 0 0 0 0,0.34999919999999995,0.22999699999999998
1 1 1 0 0 0 0 0 0 0 0 0,0.3749991999999999,0.22999699999999998
1 1 1 0 0 0 0 0 0 0 0 0,0.39999919999999994,0.22999699999999998
1 1 1 0 0 0 0 0 0 0 0 0,0.4249991999999999,0.22999699999999998
1 1 1 0 0 0 0 0 0 0 0 0,0.44999919999999993,0.22999699999999998
1 1 1 0 0 0 0 0 0 0 0 0,0.47499919999999995,0.22999699999999998
1 1 1 0 0 0 0 0 0 0 0 0,0.32499919999999993,0.254997
1 1 1 0 0 0 0 0 0 0 0 0,0.34999919999999995,0.254997
1 1 1 0 0 0 0 0 0 0 0 0,0.3749991999999999,0.254997
1 1 1 0 0 0 0 0 0 0 0 0,0.39999919999999994,0.254997
1 1 1 0 0 0 0 0 0 0 0 0,0.4249991999999999,0.254997
1 1 1 0 0 0 0 0 0 0 0 0,0.44999919999999993,0.254997
1 1 1 0 0 0 0 0 0 0 0 0,0.47499919999999995,0.254997
1 1 1 0 0 0 0 0 0 0 0 0,0.32499919999999993,0.27999699999999994
1 1 1 0 0 0 0 0 0 0 0 0,0.34999919999999995,0.27999699999999994
1 1 1 0 0 0 0 0 0 0 0 0,0.3749991999999999,0.27999699999999994
1 1 1 0 0 0 0 0 0 0 0 0,0.39999919999999994,0.27999699999999994
1 1 1 0 0 0 0 0 0 0 0 0,0.4249991999999999,0.27999699999999994
1 1 1 0 0 0 0 0 0 0 0 0,0.44999919999999993,0.27999699999999994
1 1 1 0 0 0 0 0 0 0 0 0,0.47499919999999995,0.27999699999999994
1 1 1 0 0 0 0 0 0 0 0 0,0.32499919999999993,0.30499699999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.34999919999999995,0.30499699999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.3749991999999999,0.30499699999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.39999919999999994,0.30499699999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.4249991999999999,0.30499699999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.44999919999999993,0.30499699999999996
1 1 1 0 0 0 0 0 0 0 0 0,0.47499919999999995,0.30499699999999996
